first_name,middle_name,last_name,email,student_id,course,year
Aldon,Saynor,Kohrt,akohrt19@4shared.com,48985151,Bachelor of Science in Acounting Information System,3
Puff,Hancorn,Bouttell,pbouttell1a@deliciousdays.com,51634052,Bachelor of Science in Acounting Information System,1
Rhona,Leyburn,Quant,rquant1b@huffingtonpost.com,48539070,Bachelor of Arts in Political Science,1
Kimball,Meers,Giorgetti,kgiorgetti1c@ucsd.edu,82030284,Bachelor of Science in Computer Science,3
Tommy,Glentworth,Camous,tcamous1d@privacy.gov.au,97801506,Bachelor of Science in Acounting Information System,2
Jodie,Wagen,Merriton,jmerriton1e@hubpages.com,56843565,Bachelor of Science in Information Technology,1
Dacy,Spaldin,D'Onise,ddonise1f@homestead.com,21252177,Bachelor of Science in Computer Science,3
Ethelda,De Beneditti,Kirkbride,ekirkbride1g@prnewswire.com,49561013,Bachelor of Arts in Political Science,3
Coletta,Christopherson,MacCulloch,cmacculloch1h@bigcartel.com,85733419,Bachelor of Science in Acounting Information System,1
Rana,St. John,McGorley,rmcgorley1i@globo.com,80156763,Bachelor of Science in Acounting Information System,1
Rivkah,Dowsing,McFaul,rmcfaul1j@seesaa.net,36208123,Bachelor of Science in Computer Science,4
Kenn,Syers,Lucchi,klucchi1k@globo.com,94951650,Bachelor of Science in Acounting Information System,2
Fayth,Jarnell,Hallitt,fhallitt1l@cornell.edu,39558748,Bachelor of Science in Information Technology,3
Griselda,Riggulsford,Griston,ggriston1m@cam.ac.uk,92480789,Bachelor of Science in Computer Science,4
Lynna,Beane,Master,lmaster1n@omniture.com,14135812,Bachelor of Science in Information Technology,1
Horten,Vernalls,Hallahan,hhallahan1o@mayoclinic.com,12285870,Bachelor of Science in Information Technology,3
Camala,Asee,Gristock,cgristock1p@cmu.edu,51119462,Bachelor of Science in Acounting Information System,3
Bertrand,Fountaine,Westoff,bwestoff1q@addtoany.com,20920720,Bachelor of Science in Acounting Information System,1
Ogdan,Aronsohn,Maddern,omaddern1r@bbc.co.uk,63257549,Bachelor of Science in Computer Science,4
Alastair,Gorghetto,Teaze,ateaze1s@theatlantic.com,36961026,Bachelor of Science in Acounting Information System,2
Ede,Mudd,Matejovsky,ematejovsky1t@biglobe.ne.jp,11788975,Bachelor of Science in Acounting Information System,4
Seward,Deneve,Mixter,smixter1u@photobucket.com,28773004,Bachelor of Science in Information Technology,2
Gerrard,Laxton,O'Reilly,goreilly1v@gmpg.org,22545989,Bachelor of Science in Computer Science,2
Rhonda,Petch,Helwig,rhelwig1w@barnesandnoble.com,93219332,Bachelor of Arts in Political Science,1
Noell,Danahar,Brounsell,nbrounsell1x@shop-pro.jp,81735230,Bachelor of Arts in Political Science,2
Moira,Gourlie,Zecchetti,mzecchetti1y@zimbio.com,65077518,Bachelor of Science in Acounting Information System,3
Corene,Cordingley,Januszewicz,cjanuszewicz1z@ebay.co.uk,44620308,Bachelor of Science in Computer Science,4
Indira,Mizzen,Gwinnel,igwinnel20@washington.edu,49384167,Bachelor of Science in Acounting Information System,3
Tabbitha,Lindstedt,Darlington,tdarlington21@imdb.com,11650245,Bachelor of Science in Computer Science,2
Tarra,Bunt,Duffyn,tduffyn22@so-net.ne.jp,69597807,Bachelor of Science in Computer Science,4
Rori,Slorance,Stuckes,rstuckes23@tiny.cc,96218578,Bachelor of Science in Computer Science,1
Georgi,Schriren,Suche,gsuche24@businessinsider.com,85974698,Bachelor of Science in Acounting Information System,4
Georgie,McCuish,Khosa,gkhosa25@youku.com,13326358,Bachelor of Science in Information Technology,1
Ravi,Gambrell,Hansill,rhansill26@seesaa.net,51252693,Bachelor of Science in Acounting Information System,1
Nicola,Knolles-Green,Newcomen,nnewcomen27@stumbleupon.com,46918199,Bachelor of Science in Acounting Information System,1
Francoise,Hazelhurst,Cammock,fcammock28@unesco.org,66808681,Bachelor of Science in Acounting Information System,4
Blanche,Long,Matresse,bmatresse29@dion.ne.jp,18702659,Bachelor of Science in Acounting Information System,1
Kinna,Emanuel,Robke,krobke2a@whitehouse.gov,81523933,Bachelor of Science in Acounting Information System,2
Wilow,Wapplington,Du Fray,wdufray2b@unc.edu,48206897,Bachelor of Science in Acounting Information System,3
Dorian,Lockitt,Fowlestone,dfowlestone2c@ted.com,56281154,Bachelor of Science in Information Technology,3
Pepita,McDermid,Clail,pclail2d@unicef.org,59210964,Bachelor of Science in Acounting Information System,1
Agnese,Roseblade,Bruford,abruford2e@typepad.com,52932512,Bachelor of Science in Information Technology,2
Hattie,Ianniello,Bradane,hbradane2f@blogspot.com,53375704,Bachelor of Science in Information Technology,4
Carolin,Ivimy,Bonefant,cbonefant2g@goo.gl,68723943,Bachelor of Science in Acounting Information System,4
Rasla,Simonou,Fransemai,rfransemai2h@addthis.com,22651249,Bachelor of Science in Acounting Information System,4
Melvin,Berthe,Whates,mwhates2i@cam.ac.uk,59629747,Bachelor of Science in Computer Science,2
Casandra,Iscowitz,Cockney,ccockney2j@purevolume.com,30803704,Bachelor of Arts in Political Science,2
Tressa,Cretney,Garbott,tgarbott2k@tamu.edu,46505446,Bachelor of Science in Acounting Information System,2
Ase,Marusic,Woodhouse,awoodhouse2l@i2i.jp,14788282,Bachelor of Science in Acounting Information System,4
Avrom,Orman,King,aking2m@nba.com,86900935,Bachelor of Science in Information Technology,2
Bidget,Ellaman,Orton,borton2n@cyberchimps.com,68593407,Bachelor of Science in Information Technology,1
Colby,Sottell,Skechley,cskechley2o@wufoo.com,27582483,Bachelor of Arts in Political Science,3
Mufinella,Sherburn,Dowrey,mdowrey2p@zdnet.com,34126705,Bachelor of Science in Acounting Information System,2
Mata,Badam,Blackham,mblackham2q@bing.com,96278029,Bachelor of Science in Computer Science,1
Lottie,Plott,Beneix,lbeneix2r@oaic.gov.au,18164623,Bachelor of Science in Acounting Information System,3
Olva,Gleadhell,McPhaden,omcphaden2s@ehow.com,30004337,Bachelor of Arts in Political Science,3
Tildy,Proffitt,Creyke,tcreyke2t@mit.edu,80725860,Bachelor of Science in Acounting Information System,2
Liuka,Hyett,Peirpoint,lpeirpoint2u@clickbank.net,30012109,Bachelor of Arts in Political Science,2
Ryley,Adger,Petrello,rpetrello2v@qq.com,56707162,Bachelor of Science in Computer Science,1
Dawna,Welbrock,Lyven,dlyven2w@wordpress.org,63108934,Bachelor of Science in Information Technology,4
Larina,Chasteney,Afonso,lafonso2x@ustream.tv,48617268,Bachelor of Science in Computer Science,2
Rosalia,Lung,Kilbey,rkilbey2y@mapy.cz,75251031,Bachelor of Science in Acounting Information System,2
Mile,Padgham,Pindar,mpindar2z@nhs.uk,24772841,Bachelor of Arts in Political Science,1
Augustin,Heinl,McGirr,amcgirr30@jimdo.com,87487986,Bachelor of Arts in Political Science,4
Georgy,Barby,Rhodes,grhodes31@walmart.com,45076663,Bachelor of Arts in Political Science,4
Carina,Catt,Tubritt,ctubritt32@examiner.com,34590549,Bachelor of Arts in Political Science,2
Malena,Dodgshun,Ewen,mewen33@huffingtonpost.com,97628819,Bachelor of Arts in Political Science,2
Rosaline,Siggens,Harmond,rharmond34@icq.com,96396987,Bachelor of Science in Acounting Information System,3
Ingelbert,Bannester,Jerdon,ijerdon35@weibo.com,49204599,Bachelor of Science in Information Technology,4
Codie,Neumann,Townby,ctownby36@usnews.com,69051556,Bachelor of Science in Computer Science,1
Fredra,Tesdale,Bearham,fbearham37@youku.com,40349801,Bachelor of Science in Information Technology,3
Lorene,Nowak,Jell,ljell38@cyberchimps.com,55753614,Bachelor of Science in Information Technology,3
Rosene,Carnalan,Cranmer,rcranmer39@goo.ne.jp,80170089,Bachelor of Science in Computer Science,2
Matilde,Lunge,Tollerfield,mtollerfield3a@jigsy.com,13323638,Bachelor of Science in Information Technology,3
Urbanus,Yurov,Kenton,ukenton3b@ihg.com,13340306,Bachelor of Arts in Political Science,4
Tanhya,Bierton,Scaddon,tscaddon3c@sbwire.com,68589718,Bachelor of Science in Acounting Information System,3
Carlyle,Slinn,McCullock,cmccullock3d@phpbb.com,29260881,Bachelor of Science in Information Technology,3
Langsdon,Weeks,Helleckas,lhelleckas3e@constantcontact.com,24531268,Bachelor of Science in Computer Science,2
Madge,Cheke,D'Elia,mdelia3f@nih.gov,42726407,Bachelor of Arts in Political Science,4
Kittie,Sugge,Summerly,ksummerly3g@paypal.com,35223262,Bachelor of Science in Computer Science,4
Beau,Staner,Jandac,bjandac3h@people.com.cn,44873473,Bachelor of Science in Acounting Information System,1
Verney,Esselin,Lude,vlude3i@ezinearticles.com,16509036,Bachelor of Science in Computer Science,4
Camile,De Blase,Jirasek,cjirasek3j@spotify.com,48479764,Bachelor of Arts in Political Science,3
Poppy,Cleugher,Teasell,pteasell3k@freewebs.com,40481780,Bachelor of Science in Acounting Information System,4
Ruprecht,Sanderson,Maytom,rmaytom3l@example.com,61732295,Bachelor of Science in Information Technology,3
Milo,Jakovijevic,Kose,mkose3m@mysql.com,88680373,Bachelor of Science in Information Technology,4
Manny,Jerome,Cotmore,mcotmore3n@sourceforge.net,22716082,Bachelor of Science in Information Technology,4
Emalee,Eyles,Kubelka,ekubelka3o@ebay.co.uk,28211032,Bachelor of Science in Computer Science,3
Gilligan,Hewell,Hemstead,ghemstead3p@ebay.com,78334798,Bachelor of Science in Acounting Information System,1
Nariko,Whitfeld,Lammerding,nlammerding3q@yellowbook.com,92446057,Bachelor of Science in Computer Science,2
Laina,Izakov,Scandwright,lscandwright3r@biglobe.ne.jp,97218468,Bachelor of Arts in Political Science,4
Berke,Fumagallo,Bulford,bbulford3s@buzzfeed.com,23299663,Bachelor of Science in Computer Science,1
Tracy,Elph,Klageman,tklageman3t@digg.com,94180513,Bachelor of Science in Computer Science,3
Kania,Mustill,Hickisson,khickisson3u@lulu.com,87903724,Bachelor of Science in Computer Science,3
Coleen,Colhoun,Glasard,cglasard3v@1688.com,82652832,Bachelor of Arts in Political Science,4
Jillie,Tuison,Hanscombe,jhanscombe3w@europa.eu,32621680,Bachelor of Science in Computer Science,2
Gerhardine,Bushill,Coronado,gcoronado3x@infoseek.co.jp,15152099,Bachelor of Science in Information Technology,4
Judd,Redwin,Stocking,jstocking3y@un.org,74846572,Bachelor of Science in Information Technology,2
Raynor,Ebden,Halliwell,rhalliwell3z@nytimes.com,74134999,Bachelor of Science in Computer Science,3
Sheila-kathryn,Knyvett,Fulle,sfulle40@w3.org,87176174,Bachelor of Science in Acounting Information System,1
Gena,Gook,Bucher,gbucher41@oracle.com,23970394,Bachelor of Arts in Political Science,2
Mac,Escot,Tuxill,mtuxill42@disqus.com,83874412,Bachelor of Arts in Political Science,2
Keelby,Bligh,Orry,korry43@shutterfly.com,66620128,Bachelor of Science in Computer Science,4
Nert,Fochs,Godball,ngodball44@sphinn.com,82334947,Bachelor of Science in Acounting Information System,1
Benedicta,Rickett,Winwright,bwinwright45@paginegialle.it,77615699,Bachelor of Science in Computer Science,3
Elyse,Lenney,Gooch,egooch46@ft.com,57361490,Bachelor of Science in Acounting Information System,3
Doyle,Jervis,Killingback,dkillingback47@nyu.edu,57143862,Bachelor of Arts in Political Science,4
Augustine,Tripon,Bettley,abettley48@wisc.edu,68010057,Bachelor of Science in Information Technology,4
Shannah,O'Hara,Epilet,sepilet49@php.net,60296683,Bachelor of Science in Computer Science,4
Claire,Denys,Aindriu,caindriu4a@google.cn,91153926,Bachelor of Arts in Political Science,4
Pearce,Mordan,Mountcastle,pmountcastle4b@ehow.com,58001106,Bachelor of Science in Information Technology,4
Tris,Leckey,Rozec,trozec4c@trellian.com,94724843,Bachelor of Arts in Political Science,4
Garvy,Dagworthy,Muino,gmuino4d@amazon.com,17160880,Bachelor of Science in Information Technology,4
Thedrick,Machel,Matyatin,tmatyatin4e@yolasite.com,20891279,Bachelor of Arts in Political Science,4
Klement,Baterip,Hamsher,khamsher4f@census.gov,48545482,Bachelor of Science in Computer Science,3
Alfy,Schulken,Quernel,aquernel4g@newyorker.com,80062157,Bachelor of Science in Computer Science,3
Gabbie,Edgeley,Wetherell,gwetherell4h@un.org,49790380,Bachelor of Science in Acounting Information System,3
Freeland,Jacombs,Vickress,fvickress4i@cargocollective.com,40512667,Bachelor of Science in Information Technology,1
Helsa,Cooch,Madgin,hmadgin4j@nifty.com,45390915,Bachelor of Science in Information Technology,1
Fabiano,Costello,MacCollom,fmaccollom4k@meetup.com,75979760,Bachelor of Arts in Political Science,3
Rubi,Jacob,Queen,rqueen4l@hc360.com,86395762,Bachelor of Science in Computer Science,3
Minnaminnie,Ceschini,Wyer,mwyer4m@webnode.com,64125468,Bachelor of Science in Computer Science,3
Buddy,Forbes,Jenkin,bjenkin4n@yellowpages.com,28211459,Bachelor of Science in Acounting Information System,4
Garrard,Kochel,Karolewski,gkarolewski4o@nydailynews.com,81717352,Bachelor of Science in Computer Science,1
Lissi,Sherrard,Zorzetti,lzorzetti4p@tinypic.com,82514052,Bachelor of Science in Information Technology,1
Rem,Lake,Barling,rbarling4q@businesswire.com,75086240,Bachelor of Science in Acounting Information System,4
Loy,Pinnell,Loughlan,lloughlan4r@moonfruit.com,22789782,Bachelor of Science in Acounting Information System,3
Nickolai,Dix,Heasman,nheasman4s@examiner.com,19562660,Bachelor of Science in Computer Science,1
Milty,Gowman,Alu,malu4t@illinois.edu,71606612,Bachelor of Arts in Political Science,1
Berkly,Paoletti,Whitta,bwhitta4u@omniture.com,26566427,Bachelor of Arts in Political Science,3
Sherlock,Dakhov,Summerson,ssummerson4v@businessinsider.com,57839893,Bachelor of Science in Information Technology,2
Ichabod,Zanardii,Pebworth,ipebworth4w@utexas.edu,15227122,Bachelor of Science in Acounting Information System,4
Jammie,Rait,Staynes,jstaynes4x@furl.net,92092251,Bachelor of Arts in Political Science,1
Archibold,Sundin,Spon,aspon4y@loc.gov,59909679,Bachelor of Arts in Political Science,1
Willyt,Peete,McLuckie,wmcluckie4z@nih.gov,93230252,Bachelor of Arts in Political Science,2
Olvan,Meharg,Moar,omoar50@vistaprint.com,12817988,Bachelor of Science in Information Technology,1
Minta,Gimblet,Rizzardo,mrizzardo51@livejournal.com,73583956,Bachelor of Science in Information Technology,4
Del,Powis,Ellcock,dellcock52@google.de,82188995,Bachelor of Science in Computer Science,4
Ximenes,Treadgear,Bush,xbush53@narod.ru,45587917,Bachelor of Arts in Political Science,2
Violetta,Kynman,Hitschke,vhitschke54@cafepress.com,81396045,Bachelor of Arts in Political Science,1
Haywood,Lincke,Diggens,hdiggens55@friendfeed.com,69447912,Bachelor of Science in Information Technology,2
Daniella,Brok,Fursland,dfursland56@prweb.com,80464849,Bachelor of Science in Acounting Information System,4
Tonnie,Hedan,Guile,tguile57@flickr.com,93924667,Bachelor of Arts in Political Science,3
Earl,Outram,Neely,eneely58@ehow.com,27160286,Bachelor of Science in Information Technology,4
Florinda,Petrillo,Gibbard,fgibbard59@storify.com,68252169,Bachelor of Arts in Political Science,4
Rennie,Caplin,Jamot,rjamot5a@twitpic.com,72007452,Bachelor of Science in Information Technology,4
Maria,Ilchenko,Kibard,mkibard5b@ehow.com,34006533,Bachelor of Arts in Political Science,4
Hailey,Sleigh,Entreis,hentreis5c@1und1.de,60386369,Bachelor of Science in Computer Science,4
Rhodia,Normansell,Henlon,rhenlon5d@seesaa.net,57391611,Bachelor of Science in Computer Science,2
Vilhelmina,Wenzel,Bowery,vbowery5e@purevolume.com,33047984,Bachelor of Science in Computer Science,1
Sydney,Esterbrook,Bruckental,sbruckental5f@furl.net,40884540,Bachelor of Science in Acounting Information System,1
Celie,Balchin,Whitchurch,cwhitchurch5g@ucsd.edu,56338070,Bachelor of Science in Computer Science,1
Alexandr,McCafferky,Simione,asimione5h@cnn.com,92523968,Bachelor of Science in Computer Science,4
Ajay,Bartrap,Laugheran,alaugheran5i@merriam-webster.com,38133776,Bachelor of Science in Acounting Information System,4
Licha,Fenning,Vanacci,lvanacci5j@jigsy.com,27020459,Bachelor of Science in Acounting Information System,1
Elia,Richardon,Bellord,ebellord5k@deliciousdays.com,18050090,Bachelor of Arts in Political Science,3
Salli,Burk,Marti,smarti5l@rambler.ru,21765281,Bachelor of Science in Information Technology,2
Buiron,Ashenhurst,Linfoot,blinfoot5m@dion.ne.jp,89512157,Bachelor of Science in Acounting Information System,2
Connie,Cristofvao,Breeze,cbreeze5n@live.com,39588471,Bachelor of Science in Information Technology,3
Starlin,Crowne,Hancorn,shancorn5o@mlb.com,80753152,Bachelor of Science in Computer Science,4
Tandy,Cuddon,Eagle,teagle5p@geocities.jp,27323818,Bachelor of Arts in Political Science,1
Katti,Levecque,Westmoreland,kwestmoreland5q@123-reg.co.uk,45553176,Bachelor of Arts in Political Science,3
Astrid,Ianitti,Oger,aoger5r@cbc.ca,32065524,Bachelor of Science in Acounting Information System,3
Nicolas,Chessel,Bassett,nbassett5s@shareasale.com,22162072,Bachelor of Science in Acounting Information System,1
Woodie,Sisselot,L'Archer,wlarcher5t@nps.gov,29784588,Bachelor of Science in Acounting Information System,4
Jacinta,Brehat,Lofthouse,jlofthouse5u@engadget.com,33944156,Bachelor of Arts in Political Science,1
Clay,Frye,Leedal,cleedal5v@home.pl,94541019,Bachelor of Science in Acounting Information System,4
Cleavland,Zorener,O'Clery,coclery5w@tumblr.com,53125768,Bachelor of Science in Acounting Information System,3
Ricard,Huster,Petrussi,rpetrussi5x@si.edu,10976490,Bachelor of Science in Acounting Information System,4
Carma,Rash,Cattermull,ccattermull5y@uiuc.edu,36576877,Bachelor of Science in Acounting Information System,3
Yanaton,Gummary,Deavall,ydeavall5z@over-blog.com,42919043,Bachelor of Science in Computer Science,4
Gilburt,Palmer,Fonquernie,gfonquernie60@dot.gov,38249717,Bachelor of Arts in Political Science,1
Buffy,Munnings,Drews,bdrews61@ow.ly,48451209,Bachelor of Science in Acounting Information System,4
Hal,Unthank,Henric,hhenric62@list-manage.com,40574119,Bachelor of Science in Information Technology,3
Park,Float,Aleksandrev,paleksandrev63@exblog.jp,44985693,Bachelor of Science in Information Technology,1
Newton,Roxburgh,Arnald,narnald64@storify.com,39544343,Bachelor of Arts in Political Science,4
Anallise,MacArte,Whitelock,awhitelock65@globo.com,96776868,Bachelor of Science in Acounting Information System,3
Crawford,Forte,Ladell,cladell66@blogger.com,30759429,Bachelor of Science in Acounting Information System,1
Drusie,Stickland,McGriffin,dmcgriffin67@businesswire.com,65366687,Bachelor of Arts in Political Science,3
Ulick,Beney,Doring,udoring68@mit.edu,73537724,Bachelor of Arts in Political Science,1
Joella,Burras,Leyzell,jleyzell69@china.com.cn,63930524,Bachelor of Arts in Political Science,1
Sammy,Haggleton,Glasman,sglasman6a@1688.com,82740770,Bachelor of Science in Computer Science,1
Mar,Di Matteo,Niemiec,mniemiec6b@cocolog-nifty.com,60008436,Bachelor of Science in Information Technology,4
Clare,Tyhurst,Stather,cstather6c@fda.gov,93488383,Bachelor of Science in Acounting Information System,3
Corie,Kubicek,Marikhin,cmarikhin6d@yellowpages.com,79169813,Bachelor of Arts in Political Science,4
Aurelia,Farre,Busfield,abusfield6e@uiuc.edu,55766085,Bachelor of Science in Acounting Information System,2
Claudie,Bulcroft,Ive,cive6f@tmall.com,51318581,Bachelor of Arts in Political Science,2
Ollie,Feldbau,Kunz,okunz6g@google.pl,73945215,Bachelor of Science in Acounting Information System,3
Claude,Peres,Parzizek,cparzizek6h@auda.org.au,45715458,Bachelor of Arts in Political Science,4
Klemens,Campa,Clothier,kclothier6i@nature.com,10064784,Bachelor of Arts in Political Science,1
Rosana,Marrill,Dalloway,rdalloway6j@ucla.edu,52374125,Bachelor of Arts in Political Science,1
Jozef,Pardoe,Blueman,jblueman6k@bloomberg.com,78820259,Bachelor of Arts in Political Science,1
Ellette,Jose,Calrow,ecalrow6l@studiopress.com,73025576,Bachelor of Science in Acounting Information System,1
Bartel,Beecraft,Isselee,bisselee6m@engadget.com,15622932,Bachelor of Arts in Political Science,2
Andrea,Troman,Eliasson,aeliasson6n@cisco.com,82331826,Bachelor of Science in Computer Science,2
Maude,Debnam,Stockney,mstockney6o@bizjournals.com,54009649,Bachelor of Science in Information Technology,1
Claus,Skey,East,ceast6p@twitter.com,23008205,Bachelor of Science in Information Technology,1
Adria,Clough,McMoyer,amcmoyer6q@foxnews.com,97238097,Bachelor of Arts in Political Science,2
Saxon,Hobbema,Leggitt,sleggitt6r@wufoo.com,42044822,Bachelor of Arts in Political Science,1
Kessia,Nudd,Heberden,kheberden6s@sun.com,72988440,Bachelor of Science in Acounting Information System,1
Darcy,Bisiker,Brik,dbrik6t@telegraph.co.uk,25107297,Bachelor of Science in Computer Science,4
Wynn,Catling,Fawdry,wfawdry6u@foxnews.com,49004779,Bachelor of Science in Computer Science,4
Kaitlynn,Greyes,McAuslene,kmcauslene6v@goodreads.com,30813652,Bachelor of Science in Computer Science,3
Catherina,Deddum,Hardistry,chardistry6w@gnu.org,19814095,Bachelor of Science in Information Technology,2
Sher,Bernasek,Cahill,scahill6x@toplist.cz,76280007,Bachelor of Science in Computer Science,2
Anthe,Akister,Laye,alaye6y@java.com,17718745,Bachelor of Science in Information Technology,1
Giff,Harbin,Challicombe,gchallicombe6z@omniture.com,82494686,Bachelor of Science in Information Technology,3
Mellie,Deighton,Copeman,mcopeman70@ning.com,73299296,Bachelor of Science in Acounting Information System,3
Clarance,Bleckly,Byard,cbyard71@umn.edu,82276840,Bachelor of Science in Information Technology,1
Binny,Grigolashvill,McRuvie,bmcruvie72@typepad.com,21588679,Bachelor of Science in Computer Science,4
Randolf,Heis,Fawke,rfawke73@phoca.cz,27289684,Bachelor of Science in Information Technology,2
Sumner,Youthead,Stollman,sstollman74@noaa.gov,81172442,Bachelor of Arts in Political Science,3
Corissa,Katt,Sindle,csindle75@noaa.gov,82563466,Bachelor of Arts in Political Science,1
Dedra,Eton,Dowley,ddowley76@unblog.fr,65199648,Bachelor of Science in Computer Science,4
Freeland,Mixon,Robbins,frobbins77@trellian.com,19640295,Bachelor of Science in Computer Science,3
Perry,Merchant,Carillo,pcarillo78@hexun.com,35789849,Bachelor of Science in Acounting Information System,4
Noach,Maccrie,Pepperell,npepperell79@nyu.edu,53696804,Bachelor of Science in Information Technology,2
Trixy,Castellet,Shields,tshields7a@bigcartel.com,16810972,Bachelor of Arts in Political Science,3
Justin,Dalgardno,Grundle,jgrundle7b@angelfire.com,72860126,Bachelor of Arts in Political Science,1
Liza,Freezer,Leman,lleman7c@blogtalkradio.com,44879406,Bachelor of Science in Computer Science,2
Ulrikaumeko,Ellam,Seabrook,useabrook7d@wikia.com,64727124,Bachelor of Science in Acounting Information System,1
Gussi,Arkill,Neilan,gneilan7e@booking.com,84307314,Bachelor of Science in Computer Science,1
Marty,Orred,Lynagh,mlynagh7f@canalblog.com,77404486,Bachelor of Science in Information Technology,1
Andy,Poulsom,Dahlback,adahlback7g@tripod.com,30490402,Bachelor of Arts in Political Science,1
Analise,Shewsmith,Deneve,adeneve7h@seattletimes.com,83959938,Bachelor of Science in Acounting Information System,1
Oby,Carradice,Euston,oeuston7i@scientificamerican.com,71673904,Bachelor of Science in Acounting Information System,3
Nedi,Hundall,Ifill,nifill7j@soundcloud.com,70814790,Bachelor of Arts in Political Science,2
Nadine,MacAlister,Orht,norht7k@t.co,32945407,Bachelor of Science in Computer Science,1
